generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Oahu_AES,Oahu_AES,AES,Oahu,multiple,2020,1386.818352959468,5305195.349675922,1466377.3352372868,180.0,31331181.826544113,14677622.956780847,37.001241023019986,0.8795144298322346,,
Oahu_Airport_DSG,Oahu_Airport_DSG,Airport_DSG,Oahu,multiple,2020,0.37755158184319093,6692.016395113142,0.0,8.0,283791.85665925033,67349.46997205736,947.7733910675026,0.005387436955524983,,
Oahu_Airport_DSG,Oahu_Airport_DSG,Airport_DSG,Oahu,multiple,2023,0.0,0.0,0.0,8.0,283791.85665925033,67349.46997205736,0.0,0.0,,
Oahu_Airport_DSG,Oahu_Airport_DSG,Airport_DSG,Oahu,multiple,2025,0.0,0.0,0.0,8.0,283791.85665925033,67349.46997205736,0.0,0.0,,
Oahu_Airport_DSG,Oahu_Airport_DSG,Airport_DSG,Oahu,multiple,2030,0.0,0.0,0.0,8.0,283791.85665925033,67349.46997205736,0.0,0.0,,
Oahu_Airport_DSG,Oahu_Airport_DSG,Airport_DSG,Oahu,multiple,2035,0.0,0.0,0.0,8.0,283791.85665925033,67349.46997205736,0.0,0.0,,
Oahu_Airport_DSG,Oahu_Airport_DSG,Airport_DSG,Oahu,multiple,2040,0.0,0.0,0.0,8.0,283791.85665925033,67349.46997205736,0.0,0.0,,
Oahu_Airport_DSG,Oahu_Airport_DSG,Airport_DSG,Oahu,multiple,2045,1.3495460797799195,23920.399029340642,0.0,8.0,283791.85665925033,67349.46997205736,277.9169465053111,0.019257221458046796,,
Oahu_Airport_DSG,Oahu_Airport_DSG,Airport_DSG,Oahu,multiple,2050,5.799834938101792,102800.76249514244,0.0,8.0,283791.85665925033,67349.46997205736,78.26810486351859,0.0827602017423201,,
Oahu_Battery_Bulk,Oahu_Battery_Bulk,Battery_Bulk,Oahu,Battery,2020,8.405982008583788e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.405982008583788e-14
Oahu_Battery_Bulk,Oahu_Battery_Bulk,Battery_Bulk,Oahu,Battery,2023,-39.53347590506864,0.0,0.0,426.5,12380224.57681377,13137616.597335804,71.71936241642489,0.09523232082995221,395.33475905068633,355.8012831456177
Oahu_Battery_Bulk,Oahu_Battery_Bulk,Battery_Bulk,Oahu,Battery,2025,-71.12252048242917,0.0,0.0,598.5,16613205.345183283,17629560.830955442,53.49573906465686,0.12209036372168298,711.225204824292,640.1026843418628
Oahu_Battery_Bulk,Oahu_Battery_Bulk,Battery_Bulk,Oahu,Battery,2030,-146.44848517769765,0.0,0.0,598.5,16613205.345183283,17629560.830955442,25.980137607651876,0.25139644518436066,1464.4848517769747,1318.0363665992768
Oahu_Battery_Bulk,Oahu_Battery_Bulk,Battery_Bulk,Oahu,Battery,2035,-173.46314758682988,0.0,0.0,598.5,16613205.345183283,17629560.830955442,21.934064095338847,0.297770363557575,1734.631475868298,1561.168328281468
Oahu_Battery_Bulk,Oahu_Battery_Bulk,Battery_Bulk,Oahu,Battery,2040,-184.4823028647529,0.0,0.0,630.9644195738585,11058878.195562381,11735433.459101839,13.728695141123964,0.30039191854952707,1844.8230286475266,1660.3407257827741
Oahu_Battery_Bulk,Oahu_Battery_Bulk,Battery_Bulk,Oahu,Battery,2045,-241.15312506444764,0.0,0.0,886.1609491282532,15212206.72763469,16142852.526388634,14.446818683101018,0.27958810444248317,2411.531250644475,2170.3781255800277
Oahu_Battery_Bulk,Oahu_Battery_Bulk,Battery_Bulk,Oahu,Battery,2050,-131.16521638341663,0.0,0.0,920.2576418413813,15724444.583420152,16686427.847999055,27.45551105110493,0.14643593036176333,1311.6521638341665,1180.48694745075
Oahu_Battery_Conting,Oahu_Battery_Conting,Battery_Conting,Oahu,Battery,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oahu_Battery_Conting,Oahu_Battery_Conting,Battery_Conting,Oahu,Battery,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oahu_Battery_Conting,Oahu_Battery_Conting,Battery_Conting,Oahu,Battery,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oahu_Battery_Conting,Oahu_Battery_Conting,Battery_Conting,Oahu,Battery,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oahu_Battery_Conting,Oahu_Battery_Conting,Battery_Conting,Oahu,Battery,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oahu_Battery_Conting,Oahu_Battery_Conting,Battery_Conting,Oahu,Battery,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oahu_Battery_Conting,Oahu_Battery_Conting,Battery_Conting,Oahu,Battery,2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oahu_Battery_Conting,Oahu_Battery_Conting,Battery_Conting,Oahu,Battery,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oahu_Battery_Reg,Oahu_Battery_Reg,Battery_Reg,Oahu,Battery,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oahu_Battery_Reg,Oahu_Battery_Reg,Battery_Reg,Oahu,Battery,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oahu_Battery_Reg,Oahu_Battery_Reg,Battery_Reg,Oahu,Battery,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oahu_Battery_Reg,Oahu_Battery_Reg,Battery_Reg,Oahu,Battery,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oahu_Battery_Reg,Oahu_Battery_Reg,Battery_Reg,Oahu,Battery,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oahu_Battery_Reg,Oahu_Battery_Reg,Battery_Reg,Oahu,Battery,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
