GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,GenCapitalCosts,GenFixedOMCosts
Oahu_AES,2020,AES,Oahu,multiple,180,3.13312e+07,1.46776e+07
Oahu_Airport_DSG,2020,Airport_DSG,Oahu,multiple,8,283792,67349.5
Oahu_Airport_DSG,2023,Airport_DSG,Oahu,multiple,8,283792,67349.5
Oahu_Airport_DSG,2025,Airport_DSG,Oahu,multiple,8,283792,67349.5
Oahu_Airport_DSG,2030,Airport_DSG,Oahu,multiple,8,283792,67349.5
Oahu_Airport_DSG,2035,Airport_DSG,Oahu,multiple,8,283792,67349.5
Oahu_Airport_DSG,2040,Airport_DSG,Oahu,multiple,8,283792,67349.5
Oahu_Airport_DSG,2045,Airport_DSG,Oahu,multiple,8,283792,67349.5
Oahu_Airport_DSG,2050,Airport_DSG,Oahu,multiple,8,283792,67349.5
Oahu_Battery_Bulk,2020,Battery_Bulk,Oahu,Battery,0,0,0
Oahu_Battery_Bulk,2023,Battery_Bulk,Oahu,Battery,339.5,9.85483e+06,1.04577e+07
Oahu_Battery_Bulk,2025,Battery_Bulk,Oahu,Battery,339.5,9.85483e+06,1.04577e+07
Oahu_Battery_Bulk,2030,Battery_Bulk,Oahu,Battery,504.5,1.31599e+07,1.3965e+07
Oahu_Battery_Bulk,2035,Battery_Bulk,Oahu,Battery,672.5,1.63148e+07,1.73129e+07
Oahu_Battery_Bulk,2040,Battery_Bulk,Oahu,Battery,1092.5,1.97716e+07,2.09812e+07
Oahu_Battery_Bulk,2045,Battery_Bulk,Oahu,Battery,2617.5,4.39713e+07,4.66614e+07
Oahu_Battery_Bulk,2050,Battery_Bulk,Oahu,Battery,2617.5,4.33404e+07,4.59918e+07
Oahu_Battery_Conting,2020,Battery_Conting,Oahu,Battery,0,0,0
Oahu_Battery_Conting,2023,Battery_Conting,Oahu,Battery,0,0,0
Oahu_Battery_Conting,2025,Battery_Conting,Oahu,Battery,0,0,0
Oahu_Battery_Conting,2030,Battery_Conting,Oahu,Battery,0,0,0
Oahu_Battery_Conting,2035,Battery_Conting,Oahu,Battery,0,0,0
Oahu_Battery_Conting,2040,Battery_Conting,Oahu,Battery,0,0,0
Oahu_Battery_Conting,2045,Battery_Conting,Oahu,Battery,0,0,0
Oahu_Battery_Conting,2050,Battery_Conting,Oahu,Battery,0,0,0
Oahu_Battery_Reg,2020,Battery_Reg,Oahu,Battery,0,0,0
Oahu_Battery_Reg,2023,Battery_Reg,Oahu,Battery,0,0,0
Oahu_Battery_Reg,2025,Battery_Reg,Oahu,Battery,0,0,0
Oahu_Battery_Reg,2030,Battery_Reg,Oahu,Battery,0,0,0
Oahu_Battery_Reg,2035,Battery_Reg,Oahu,Battery,0,0,0
Oahu_Battery_Reg,2040,Battery_Reg,Oahu,Battery,0,0,0
Oahu_Battery_Reg,2045,Battery_Reg,Oahu,Battery,0,0,0
Oahu_Battery_Reg,2050,Battery_Reg,Oahu,Battery,0,0,0
Oahu_CC_152,2020,CC_152,Oahu,multiple,0,0,0
Oahu_CC_152,2023,CC_152,Oahu,multiple,0,0,0
Oahu_CC_152,2025,CC_152,Oahu,multiple,0,0,0
Oahu_CC_152,2030,CC_152,Oahu,multiple,301.172,4.03967e+07,5.63651e+06
Oahu_CC_152,2035,CC_152,Oahu,multiple,602.344,8.02237e+07,1.1273e+07
Oahu_CC_152,2040,CC_152,Oahu,multiple,602.344,8.02237e+07,1.1273e+07
Oahu_CC_152,2045,CC_152,Oahu,multiple,602.344,8.02237e+07,1.1273e+07
Oahu_CC_152,2050,CC_152,Oahu,multiple,602.344,8.02237e+07,1.1273e+07
Oahu_CIP_CT,2020,CIP_CT,Oahu,multiple,113,4.00856e+06,1.69497e+06
Oahu_CIP_CT,2023,CIP_CT,Oahu,multiple,113,4.00856e+06,1.69497e+06
Oahu_CIP_CT,2025,CIP_CT,Oahu,multiple,113,4.00856e+06,1.69497e+06
Oahu_CIP_CT,2030,CIP_CT,Oahu,multiple,113,4.00856e+06,1.69497e+06
Oahu_CIP_CT,2035,CIP_CT,Oahu,multiple,113,4.00856e+06,1.69497e+06
Oahu_CIP_CT,2040,CIP_CT,Oahu,multiple,113,4.00856e+06,1.69497e+06
Oahu_CIP_CT,2045,CIP_CT,Oahu,multiple,113,4.00856e+06,1.69497e+06
Oahu_CIP_CT,2050,CIP_CT,Oahu,multiple,113,4.00856e+06,1.69497e+06
Oahu_CentralTrackingPV_PV_01,2020,CentralTrackingPV,Oahu,SUN,27.6,8.94925e+06,670995
Oahu_CentralTrackingPV_PV_01,2023,CentralTrackingPV,Oahu,SUN,27.6,8.94925e+06,670995
Oahu_CentralTrackingPV_PV_01,2025,CentralTrackingPV,Oahu,SUN,27.6,8.94925e+06,670995
Oahu_CentralTrackingPV_PV_01,2030,CentralTrackingPV,Oahu,SUN,27.6,8.94925e+06,670995
Oahu_CentralTrackingPV_PV_01,2035,CentralTrackingPV,Oahu,SUN,27.6,8.94925e+06,670995
Oahu_CentralTrackingPV_PV_01,2040,CentralTrackingPV,Oahu,SUN,27.6,8.94925e+06,670995
Oahu_CentralTrackingPV_PV_01,2045,CentralTrackingPV,Oahu,SUN,226.7,2.72938e+07,2.42965e+06
Oahu_CentralTrackingPV_PV_01,2050,CentralTrackingPV,Oahu,SUN,242.136,2.21116e+07,2.11932e+06
Oahu_CentralTrackingPV_PV_02,2020,CentralTrackingPV,Oahu,SUN,10,2.46817e+06,204018
Oahu_CentralTrackingPV_PV_02,2023,CentralTrackingPV,Oahu,SUN,10,2.46817e+06,204018
Oahu_CentralTrackingPV_PV_02,2025,CentralTrackingPV,Oahu,SUN,10,2.46817e+06,204018
Oahu_CentralTrackingPV_PV_02,2030,CentralTrackingPV,Oahu,SUN,10,2.46817e+06,204018
Oahu_CentralTrackingPV_PV_02,2035,CentralTrackingPV,Oahu,SUN,10,2.46817e+06,204018
