load_zone,period,Battery,Biodiesel,Biodiesel/Coal/Diesel/LNG/LSFO,Biodiesel/Diesel/LNG,Biodiesel/Diesel/LNG/LSFO,MSW,SUN,WND,hydro,fuel cells
Oahu,2020,38.097,8.0,180.0,264.64,1214.7,73.0,859.6999999999992,99.0,0.0,0
Oahu,2021,50.597,8.0,180.0,264.64,1214.7,73.0,880.6999999999992,123.0,0.0,0
Oahu,2022,377.597,8.0,180.0,264.64,1214.7,73.0,1007.6999999999992,123.0,0.0,0
Oahu,2023,377.597,8.0,0.0,264.64,1121.5,73.0,1007.6999999999992,123.0,0.0,0
Oahu,2024,384.409,8.0,0.0,264.64,1121.5,73.0,1007.6999999999992,123.0,0.0,0
Oahu,2025,394.102,8.0,0.0,264.64,1121.5,73.0,1645.1999999999991,123.0,0.0,0
Oahu,2026,397.23699999999997,8.0,0.0,264.64,1164.086,73.0,1645.1999999999991,123.0,0.0,0
Oahu,2027,400.969,8.0,0.0,264.64,1164.086,73.0,1645.1999999999991,123.0,0.0,0
Oahu,2028,405.51099999999997,8.0,0.0,264.64,1045.972,73.0,1652.4999999999989,123.0,0.0,0
Oahu,2029,410.835,8.0,0.0,264.64,1045.972,73.0,1678.299999999999,123.0,0.0,0
Oahu,2030,581.95,8.0,0.0,264.64,1045.972,73.0,1705.599999999999,123.0,0.0,0
Oahu,2031,588.669,8.0,0.0,264.64,876.972,73.0,1733.9999999999989,123.0,0.0,0
Oahu,2032,595.985,8.0,0.0,264.64,1178.1440000000002,73.0,1763.6999999999991,123.0,0.0,0
Oahu,2033,603.898,8.0,0.0,264.64,1178.1440000000002,73.0,1794.1999999999991,123.0,0.0,0
Oahu,2034,612.2529999999999,8.0,0.0,264.64,1178.1440000000002,73.0,1825.4999999999989,123.0,0.0,0
Oahu,2035,788.976,8.0,0.0,264.64,1013.9440000000001,73.0,1857.6999999999991,123.0,0.0,0
Oahu,2036,797.982,8.0,0.0,264.64,1013.9440000000001,73.0,1890.1999999999991,123.0,0.0,0
Oahu,2037,807.297,8.0,0.0,264.64,1013.9440000000001,73.0,1923.0999999999992,123.0,0.0,0
Oahu,2038,816.787,8.0,0.0,264.64,1013.9440000000001,73.0,1956.3999999999987,123.0,0.0,0
Oahu,2039,826.3430000000001,8.0,0.0,264.64,842.5440000000001,73.0,1989.0999999999988,123.0,0.0,0
Oahu,2040,1256.031,8.0,0.0,264.64,842.5440000000001,73.0,2302.299999999999,123.0,0.0,0
Oahu,2041,1265.808,8.0,0.0,264.64,842.5440000000001,73.0,2335.299999999999,123.0,0.0,0
Oahu,2042,1275.635,8.0,0.0,264.64,842.5440000000001,73.0,2368.3999999999983,123.0,0.0,0
Oahu,2043,1285.509,8.0,0.0,264.64,842.5440000000001,73.0,2401.699999999998,123.0,0.0,0
Oahu,2044,1295.448,8.0,0.0,264.64,842.5440000000001,73.0,2435.199999999998,123.0,0.0,0
Oahu,2045,2830.5460000000003,8.0,0.0,331.785568,810.344,73.0,3648.4999999999986,123.0,0.0,0
Oahu,2046,2830.5460000000003,8.0,0.0,331.785568,810.344,73.0,3648.4999999999986,123.0,0.0,0
Oahu,2047,2830.546,8.0,0.0,331.785568,810.344,73.0,3648.4999999999986,123.0,0.0,0
Oahu,2048,2830.546,8.0,0.0,282.94556800000004,810.344,73.0,3648.4999999999986,123.0,0.0,0
Oahu,2049,2830.546,8.0,0.0,282.94556800000004,810.344,73.0,3648.499999999999,123.0,0.0,0
Oahu,2050,2830.546,8.0,0.0,282.94556800000004,810.344,73.0,3648.499999999999,123.0,0.0,0
