ChargeEVs_index_1,ChargeEVs_index_2,ChargeEVs
Oahu,2007011200,3.085128906474145
Oahu,2007011202,7.991392842893229
Oahu,2007011204,0.522083890561765
Oahu,2007011206,0.522083890561765
Oahu,2007011208,0.79781307835972
Oahu,2007011210,1.370756932656105
Oahu,2007011212,3.3255472161362354
Oahu,2007011214,3.3255472161362354
Oahu,2007011216,3.3255472161362354
Oahu,2007011218,3.325547216136235
Oahu,2007011220,3.085128906474145
Oahu,2007011222,3.085128906474145
Oahu,2007011900,3.085128906474145
Oahu,2007011902,0.522083890561765
Oahu,2007011904,0.522083890561765
Oahu,2007011906,0.522083890561765
Oahu,2007011908,0.79781307835972
Oahu,2007011910,1.370756932656105
Oahu,2007011912,13.318530217351135
Oahu,2007011914,2.0637101916945193
Oahu,2007011916,2.0637101916945193
Oahu,2007011918,3.325547216136235
Oahu,2007011920,3.085128906474145
Oahu,2007011922,3.085128906474145
Oahu,2007021200,0.7731585308277903
Oahu,2007021202,0.7731585308277903
Oahu,2007021204,0.522083890561765
Oahu,2007021206,0.522083890561765
Oahu,2007021208,0.79781307835972
Oahu,2007021210,6.274747608062711
Oahu,2007021212,1.57160676958348
Oahu,2007021214,12.017672050640536
Oahu,2007021216,3.3255472161362354
Oahu,2007021218,3.325547216136235
Oahu,2007021220,3.085128906474145
Oahu,2007021222,0.7731585308277902
Oahu,2007050200,0.7731585308278532
Oahu,2007050202,10.66054331070568
Oahu,2007050204,0.522083890561765
Oahu,2007050206,0.522083890561765
Oahu,2007050208,0.79781307835972
Oahu,2007050210,3.3255472161362354
Oahu,2007050212,3.3255472161362354
Oahu,2007050214,3.3255472161362354
Oahu,2007050216,3.3255472161362354
Oahu,2007050218,3.325547216136235
Oahu,2007050220,3.085128906474145
Oahu,2007050222,0.7731585308278532
Oahu,2007092200,0.7731585308277182
Oahu,2007092202,0.7731585308277182
Oahu,2007092204,0.522083890561765
Oahu,2007092206,0.522083890561765
Oahu,2007092208,0.79781307835972
Oahu,2007092210,1.370756932656105
Oahu,2007092212,15.167722279494601
Oahu,2007092214,3.3255472161362354
Oahu,2007092216,3.3255472161362354
Oahu,2007092218,3.325547216136235
Oahu,2007092220,3.085128906474145
Oahu,2007092222,0.7731585308277182
Oahu,2007102700,3.0851289064741434
Oahu,2007102702,11.77690391621804
Oahu,2007102704,0.522083890561765
Oahu,2007102706,0.522083890561765
Oahu,2007102708,0.79781307835972
Oahu,2007102710,1.370756932656105
Oahu,2007102712,2.0637101916946357
Oahu,2007102714,2.0637101916946357
Oahu,2007102716,2.0637101916946357
Oahu,2007102718,3.325547216136235
Oahu,2007102720,3.085128906474143
Oahu,2007102722,3.0851289064741434
Oahu,2007121500,3.0851289064742815
Oahu,2007121502,11.717548962733064
Oahu,2007121504,0.79781307835972
Oahu,2007121506,0.79781307835972
Oahu,2007121508,0.79781307835972
Oahu,2007121510,1.370756932656105
