generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Oahu_AES,Oahu_AES,AES,Oahu,multiple,2020,1386.8183529594685,5305195.349675924,1466377.3352372851,180.0,31331181.826544113,14677622.956780847,37.00124102301997,0.8795144298322348,,
Oahu_AES,Oahu_AES,AES,Oahu,multiple,2021,1355.514310383238,5185443.501319523,1448213.8430954865,180.0,31331181.826544113,14677622.956780847,37.76739787436887,0.8596615362653712,,
Oahu_AES,Oahu_AES,AES,Oahu,multiple,2022,1322.9848863969285,5061004.025528384,1429339.3499525082,180.0,31331181.826544113,14677622.956780847,38.60195935264156,0.8390315109062202,,
Oahu_Airport_DSG,Oahu_Airport_DSG,Airport_DSG,Oahu,multiple,2020,0.0,0.0,0.0,8.0,283791.85665925033,67349.46997205736,0.0,0.0,,
Oahu_Airport_DSG,Oahu_Airport_DSG,Airport_DSG,Oahu,multiple,2021,0.0,0.0,0.0,8.0,283791.85665925033,67349.46997205736,0.0,0.0,,
Oahu_Airport_DSG,Oahu_Airport_DSG,Airport_DSG,Oahu,multiple,2022,0.0,0.0,0.0,8.0,283791.85665925033,67349.46997205736,0.0,0.0,,
Oahu_Airport_DSG,Oahu_Airport_DSG,Airport_DSG,Oahu,multiple,2023,0.0,0.0,0.0,8.0,283791.85665925033,67349.46997205736,0.0,0.0,,
Oahu_Airport_DSG,Oahu_Airport_DSG,Airport_DSG,Oahu,multiple,2024,0.0,0.0,0.0,8.0,283791.85665925033,67349.46997205736,0.0,0.0,,
Oahu_Airport_DSG,Oahu_Airport_DSG,Airport_DSG,Oahu,multiple,2025,0.0,0.0,0.0,8.0,283791.85665925033,67349.46997205736,0.0,0.0,,
Oahu_Airport_DSG,Oahu_Airport_DSG,Airport_DSG,Oahu,multiple,2026,0.0,0.0,0.0,8.0,283791.85665925033,67349.46997205736,0.0,0.0,,
Oahu_Airport_DSG,Oahu_Airport_DSG,Airport_DSG,Oahu,multiple,2027,0.0,0.0,0.0,8.0,283791.85665925033,67349.46997205736,0.0,0.0,,
Oahu_Airport_DSG,Oahu_Airport_DSG,Airport_DSG,Oahu,multiple,2028,0.0,0.0,0.0,8.0,283791.85665925033,67349.46997205736,0.0,0.0,,
Oahu_Airport_DSG,Oahu_Airport_DSG,Airport_DSG,Oahu,multiple,2029,0.2891884456671248,5125.799792001552,0.0,8.0,283791.85665925033,67349.46997205736,1231.9549130029782,0.0041265474552957294,,
Oahu_Airport_DSG,Oahu_Airport_DSG,Airport_DSG,Oahu,multiple,2030,0.0,0.0,0.0,8.0,283791.85665925033,67349.46997205736,0.0,0.0,,
Oahu_Airport_DSG,Oahu_Airport_DSG,Airport_DSG,Oahu,multiple,2031,0.0,0.0,0.0,8.0,283791.85665925033,67349.46997205736,0.0,0.0,,
Oahu_Airport_DSG,Oahu_Airport_DSG,Airport_DSG,Oahu,multiple,2032,0.0,0.0,0.0,8.0,283791.85665925033,67349.46997205736,0.0,0.0,,
Oahu_Airport_DSG,Oahu_Airport_DSG,Airport_DSG,Oahu,multiple,2033,0.0,0.0,0.0,8.0,283791.85665925033,67349.46997205736,0.0,0.0,,
Oahu_Airport_DSG,Oahu_Airport_DSG,Airport_DSG,Oahu,multiple,2034,0.0,0.0,0.0,8.0,283791.85665925033,67349.46997205736,0.0,0.0,,
Oahu_Airport_DSG,Oahu_Airport_DSG,Airport_DSG,Oahu,multiple,2035,0.0,0.0,0.0,8.0,283791.85665925033,67349.46997205736,0.0,0.0,,
Oahu_Airport_DSG,Oahu_Airport_DSG,Airport_DSG,Oahu,multiple,2036,0.0,0.0,0.0,8.0,283791.85665925033,67349.46997205736,0.0,0.0,,
Oahu_Airport_DSG,Oahu_Airport_DSG,Airport_DSG,Oahu,multiple,2037,0.0,0.0,0.0,8.0,283791.85665925033,67349.46997205736,0.0,0.0,,
Oahu_Airport_DSG,Oahu_Airport_DSG,Airport_DSG,Oahu,multiple,2038,0.570343878954608,10109.21625644752,0.0,8.0,283791.85665925033,67349.46997205736,633.390759886644,0.00813846859238881,,
Oahu_Airport_DSG,Oahu_Airport_DSG,Airport_DSG,Oahu,multiple,2039,0.570343878954608,10109.21625644752,0.0,8.0,283791.85665925033,67349.46997205736,633.390759886644,0.00813846859238881,,
Oahu_Airport_DSG,Oahu_Airport_DSG,Airport_DSG,Oahu,multiple,2040,0.0,0.0,0.0,8.0,283791.85665925033,67349.46997205736,0.0,0.0,,
Oahu_Airport_DSG,Oahu_Airport_DSG,Airport_DSG,Oahu,multiple,2041,0.0,0.0,0.0,8.0,283791.85665925033,67349.46997205736,0.0,0.0,,
Oahu_Airport_DSG,Oahu_Airport_DSG,Airport_DSG,Oahu,multiple,2042,0.0,0.0,0.0,8.0,283791.85665925033,67349.46997205736,0.0,0.0,,
Oahu_Airport_DSG,Oahu_Airport_DSG,Airport_DSG,Oahu,multiple,2043,0.0,0.0,0.0,8.0,283791.85665925033,67349.46997205736,0.0,0.0,,
Oahu_Airport_DSG,Oahu_Airport_DSG,Airport_DSG,Oahu,multiple,2044,0.0,0.0,0.0,8.0,283791.85665925033,67349.46997205736,0.0,0.0,,
Oahu_Airport_DSG,Oahu_Airport_DSG,Airport_DSG,Oahu,multiple,2045,1.3495460797799175,23920.39902934061,0.0,8.0,283791.85665925033,67349.46997205736,277.9169465053116,0.019257221458046758,,
Oahu_Airport_DSG,Oahu_Airport_DSG,Airport_DSG,Oahu,multiple,2046,0.7872352132049518,13953.566100448688,0.0,8.0,283791.85665925033,67349.46997205736,463.7684984204412,0.011233379183860609,,
Oahu_Airport_DSG,Oahu_Airport_DSG,Airport_DSG,Oahu,multiple,2047,1.1246217331499313,19933.66585778384,0.0,8.0,283791.85665925033,67349.46997205736,329.9553810415479,0.016047684548372302,,
Oahu_Airport_DSG,Oahu_Airport_DSG,Airport_DSG,Oahu,multiple,2048,0.8996973865199449,15946.932686227072,0.0,8.0,283791.85665925033,67349.46997205736,408.0130328459024,0.012838147638697839,,
Oahu_Airport_DSG,Oahu_Airport_DSG,Airport_DSG,Oahu,multiple,2049,1.5825034387895456,28049.51552845297,0.0,8.0,283791.85665925033,67349.46997205736,239.61454545072155,0.02258138468592387,,
Oahu_Airport_DSG,Oahu_Airport_DSG,Airport_DSG,Oahu,multiple,2050,1.3495460797799175,23920.39902934061,0.0,8.0,283791.85665925033,67349.46997205736,277.9169465053116,0.019257221458046758,,
Oahu_Battery_Bulk,Oahu_Battery_Bulk,Battery_Bulk,Oahu,Battery,2020,4.159914961788106e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.159914961788106e-14
Oahu_Battery_Bulk,Oahu_Battery_Bulk,Battery_Bulk,Oahu,Battery,2021,-2.1452703274257305,0.0,0.0,12.5,418057.8390758914,443633.60060333373,44.6300366315985,0.1763235885555395,21.452703274257317,19.307432946831582
Oahu_Battery_Bulk,Oahu_Battery_Bulk,Battery_Bulk,Oahu,Battery,2022,-23.439948818693505,0.0,0.0,139.5,4385037.29025123,4653303.203581097,42.84395254606337,0.1726318222027802,234.39948818693503,210.95953936824154
